fixture_id,match,field,authoritative_value,internal_contaminated_value,status,origin
1,Arsenal vs Coventry,score,3-0,2-0,MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
4,Hull City vs Man Utd,score,2-0,0-2,INVERTED_MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
3,Everton vs Crystal Palace,score,2-0,1-1,MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
5,Ipswich Town vs Sunderland,score,2-1,1-0,MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
6,Nott'm Forest vs Leeds,score,0-1,1-1,MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
2,Brentford vs Spurs,score,3-0,1-2,INVERTED_MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
7,Brighton vs Aston Villa,score,4-0,2-1,MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
8,Man City vs Bournemouth,score,2-1,3-0,MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
9,Newcastle vs Liverpool,score,2-2,1-2,CRITICAL_RESULT_MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
10,Fulham vs Chelsea,score,2-3,1-1,MISMATCH,Synthetic placeholder in run_final_integrity_recency_master.py
