candidate_id,name,hypothesis,sci_plausibility,recoverable_regret,manager_val,data_avail,backtestable,temporal_safe,non_redundant,simplicity,pl_reuse,priority_score,rank
R1,Defensive Contribution Model,"Model tackles, clearances, blocks, and interceptions threshold probability for DEF/MID",9.5,9.0,9.2,9.0,A,9.5,9.0,8.0,HIGH,9.15,1
R2,Match-Relative BPS & Bonus Simulation,Full match-level BPS points race simulation to replace regression proxy,9.0,8.5,8.8,8.8,A,9.2,8.5,7.5,LOW,8.65,2
R3,Set-Piece Delivery & Target Micro-Model,Explicit corner/FK delivery quality x target aerial duel win rates,8.5,7.0,7.5,8.2,A,9.0,8.0,8.0,HIGH,8.05,3
R4,Penalty Generation & Concession Fixture Model,Model team P(penalty awarded) from box carries and opponent foul style,8.2,6.5,7.0,8.5,A,9.0,8.2,8.5,HIGH,7.85,4
R8,Sub-60 Minute Risk & Timing Model,Predict 55-65 minute substitution risk from game state and bench depth,8.0,6.0,6.8,8.0,A,8.8,7.8,7.5,MEDIUM,7.45,5
R11,Promoted-Team Translation Prior,Championship xG/xGA translation factors with league strength shrinkage,7.8,5.0,5.5,7.5,A,9.0,7.5,8.5,HIGH,7.1,6
R18,Goalkeeper Shot-Stopping & Save Count Model,Dedicated Poisson save count distribution conditioned on shots faced,7.5,4.5,5.0,8.5,A,9.0,7.0,8.0,MEDIUM,6.85,7
R22,Weather Context Model,Wind/rain impact on crossing and goal scoring rates,4.0,1.0,1.2,4.0,B,6.0,8.0,6.0,LOW,3.4,28
R23,Referee Penalty/Card Bias,Referee-specific penalty and card award tendencies,3.8,1.0,1.0,5.0,B,6.5,7.5,7.0,LOW,3.2,29
R28,Short-Term Finishing Form,Predict future conversion based on recent 2-game finishing streaks,2.0,0.5,0.5,9.0,A,9.0,2.0,9.0,LOW,2.5,30
